Nr,zeitraum,name,gesamtpreis,Preis / Nacht
34,OpenAir St.Gallen,"Zwei helle Zimmer, Küche und Bad",CHF 294.00,CHF 98.00
35,OpenAir St.Gallen,Ruhiges Tiny House in der Nähe des Waldes,CHF 475.00,CHF 158.33
36,OpenAir St.Gallen,Gemütliches Apartment am Schloss,CHF 360.00,CHF 120.00
37,OpenAir St.Gallen,"Ruhig, Gratis Parkplatz, Balkon & im 1. Stockwerk",CHF 913.00,CHF 304.33
38,OpenAir St.Gallen,Modernes Studio – Steigerstraße,CHF 701.00,CHF 233.67
39,OpenAir St.Gallen,Stadtwohnung mit Küche & gratis Parkplatz,CHF 1.00,CHF 0.33
40,OpenAir St.Gallen,Säntiszimmer,CHF 132.00,CHF 44.00
41,OpenAir St.Gallen,Ganze Wohnung mitten in der Altstadt von Arbon,CHF 283.00,CHF 94.33
42,OpenAir St.Gallen,Gästezimmer im Grünen,CHF 225.00,CHF 75.00
43,OpenAir St.Gallen,"1 Zi-Studio zentral, ruhig im Gertrud Schlössli",CHF 450.00,CHF 150.00
44,OpenAir St.Gallen,Schlossapartament,CHF 330.00,CHF 110.00
45,OpenAir St.Gallen,Casa Siddhartha - „H.Hesse“,CHF 165.00,CHF 55.00
46,OpenAir St.Gallen,Gemütliche Souterrainwohnung mit gratis Parkplatz,CHF 673.00,CHF 224.33
47,OpenAir St.Gallen,Schöne 2 1/2 Zimmer Dachwohnung,CHF 508.00,CHF 169.33
48,OpenAir St.Gallen,Casa Siddhartha - „Hemingway“,CHF 148.00,CHF 49.33
49,OpenAir St.Gallen,"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",CHF 654.00,CHF 218.00
50,OpenAir St.Gallen,Premium Atmosphäre pur,CHF 343.00,CHF 114.33
51,OpenAir St.Gallen,Moderne Wohnung nahe Messe und Zentrum,CHF 115.00,CHF 38.33
52,OpenAir St.Gallen,BLIV: Exklusive Dachgeschosswohnung im Zentrum,CHF 449.00,CHF 149.67
53,OpenAir St.Gallen,"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah",CHF 228.00,CHF 76.00
54,OpenAir St.Gallen,Appenzeller Hausteil mit Garten,CHF 449.00,CHF 149.67
55,OpenAir St.Gallen,Charmante Wohnung mit Blick zum Säntis,CHF 692.00,CHF 230.67
56,OpenAir St.Gallen,Casa Siddhartha - R. Musil,CHF 189.00,CHF 63.00
57,OpenAir St.Gallen,Studio-Apartment im Zentrum Rorschach,CHF 337.00,CHF 112.33
58,OpenAir St.Gallen,Ruhiger Ort auf dem Dorfhügel.,CHF 139.00,CHF 46.33
59,OpenAir St.Gallen,"Klara 1033 - Olma, Spital, Universität St. Gallen",CHF 963.00,CHF 321.00
60,OpenAir St.Gallen,"Haus mit Garten, ruhig, Top Aussicht (Zimmer 2)",CHF 258.00,CHF 86.00
61,OpenAir St.Gallen,TouchBed | Business Apartment Top Floor,CHF 731.00,CHF 243.67
62,OpenAir St.Gallen,NTN House,CHF 304.00,CHF 101.33
63,OpenAir St.Gallen,Home at Henry,CHF 427.00,CHF 142.33
64,OpenAir St.Gallen,Superior Apartment mit Seesicht,CHF 585.00,CHF 195.00
65,OpenAir St.Gallen,Doppelzimmer ruhige Lage nahe ÖV,CHF 398.00,CHF 132.67
66,OpenAir St.Gallen,Designstudio 55 m² – St. Georgen-Straße,CHF 919.00,CHF 306.33
67,OpenAir St.Gallen,Maisonette am Bodensee | Parkplatz | Hoher Komfort,CHF 97.00,CHF 32.33
68,OpenAir St.Gallen,Gemütliches Zimmer im ruhigen Rorschacherberg Haus - 2,CHF 265.00,CHF 88.33
69,OpenAir St.Gallen,"BLIV: Design-Apartment mit Parkplatz, nahe Zentrum",CHF 664.00,CHF 221.33
70,OpenAir St.Gallen,"Klara 0002 - Olma, Spital, Universität St. Gallen",CHF 928.00,CHF 309.33
71,OpenAir St.Gallen,Moderne Wohnung nahe Messe und Zentrum,CHF 115.00,CHF 38.33
72,OpenAir St.Gallen,Vintage Rustica 31 zur Olma 1 Min.,CHF 716.00,CHF 238.67
73,OpenAir St.Gallen,S-Cape Suite&Spa - Pure Auszeit,CHF 704.00,CHF 234.67
74,OpenAir St.Gallen,Swissyurte (Rundhaus) Natur pur Ideal für 2 Pers.,CHF 230.00,CHF 76.67
75,OpenAir St.Gallen,TouchBed | Loft mit Loggia und Whirlpool,CHF 527.00,CHF 175.67
76,OpenAir St.Gallen,"YELLOW INN B 28 nähe Uni, Olma, Spital, FHS",CHF 654.00,CHF 218.00
77,OpenAir St.Gallen,Penthouse-Wohnung mit 250 m² Terrasse,CHF 909.00,CHF 303.00
78,OpenAir St.Gallen,NTN HoSTEL 3,CHF 190.00,CHF 63.33
79,OpenAir St.Gallen,3 Doppelzimmer Apartment in 9320 Arbon 8 A,CHF 425.00,CHF 141.67
80,OpenAir St.Gallen,Studio Apartment mit Seesicht,CHF 549.00,CHF 183.00
81,OpenAir St.Gallen,Zimmer für 4 Personen,CHF 403.00,CHF 134.33
82,OpenAir St.Gallen,"Klara 1031 - Olma, Spital, Universität St. Gallen",CHF 103.00,CHF 34.33
83,OpenAir St.Gallen,See-Wohnung mit Gratisparkplatz,CHF 625.00,CHF 208.33
84,OpenAir St.Gallen,Einzelbett in einem Schlafsaal mit 6 Betten,CHF 181.00,CHF 60.33
85,OpenAir St.Gallen,Wellnessoase,CHF 888.00,CHF 296.00
86,OpenAir St.Gallen,Ruhiger Ort auf dem Dorfhügel Wittenbach,CHF 115.00,CHF 38.33
87,OpenAir St.Gallen,"Klara 1014 – Olma, Spital, Uni St. Gallen",CHF 22.00,CHF 7.33
88,OpenAir St.Gallen,Dom Studio M ohne Reinigung,CHF 827.00,CHF 275.67
89,OpenAir St.Gallen,Dom Studio K ohne Reinigung,CHF 798.00,CHF 266.00
90,OpenAir St.Gallen,Nani’s Höckli im Appenzellerland,CHF 312.00,CHF 104.00
91,OpenAir St.Gallen,Stilvolle Wohnung mit Balkon nahe Bodensee,CHF 614.00,CHF 204.67
92,OpenAir St.Gallen,Vintage Rustica 32 zur Olma 1 Min.,CHF 665.00,CHF 221.67
93,OpenAir St.Gallen,"Ferienhaus Bijou-Sitterblick, Preis für 2 Personen",CHF 358.00,CHF 119.33
94,OpenAir St.Gallen,Ruhige Lage am Bodensee,CHF 704.00,CHF 234.67
95,OpenAir St.Gallen,Seeblick-Apartment mit Balkon,CHF 717.00,CHF 239.00
96,OpenAir St.Gallen,Zimmer für 3 Personen,CHF 382.00,CHF 127.33
97,OpenAir St.Gallen,NTN HoSTEL 2,CHF 190.00,CHF 63.33
98,OpenAir St.Gallen,"""Säntis"", ruhige Lage, freundl. Zimmer "", seenah.",CHF 230.00,CHF 76.67
99,OpenAir St.Gallen,Studio mit Balkon in der Altstadt von St. Gallen,CHF 80.00,CHF 26.67
100,OpenAir St.Gallen,Sonnenuntergang/Bodensee/St. Gallen/Bregenz/Appenzell,CHF 78.00,CHF 26.00
1,OLMA,Gemütliche Wohnung,CHF 779.00,CHF 77.90
2,OLMA,Das Haus mit dem Schwein,CHF 436.00,CHF 43.60
3,OLMA,4 Zimmer mit Charme an bester Lage,CHF 306.00,CHF 30.60
4,OLMA,"St.Gallen zentral, ruhig, bei Badeweihern und Wald",CHF 30.00,CHF 3.00
5,OLMA,St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,CHF 773.00,CHF 77.30
6,OLMA,Zur Geduld (direkt am Bahnhof),CHF 706.00,CHF 70.60
7,OLMA,"2 Zimmer mit Balkon, Netflix und Mietfahrräder",CHF 46.00,CHF 4.60
8,OLMA,BLIV: Grosszügiges Altbaujuwel im Zentrum,CHF 421.00,CHF 42.10
9,OLMA,gemütliche Dachwohnung,CHF 913.00,CHF 91.30
10,OLMA,1 Zimmerwohnung ohne Küche mitten im Zentrum,CHF 743.00,CHF 74.30
11,OLMA,Schönes Zimmer in der Nähe von HSG,CHF 600.00,CHF 60.00
12,OLMA,Historischer Charme in der Altstadt. Superior DZ,CHF 157.00,CHF 15.70
13,OLMA,Zentrales Apartment | ÖV-Ticket | Parkplatz | Ruhig,CHF 281.00,CHF 28.10
14,OLMA,"4-Zi-Suite mit Balkon & Flair, zentrumsnah, ruhig",CHF 166.00,CHF 16.60
15,OLMA,"3 Zi Whg Gertrud Schlössli, stilvoll zentral ruhig",CHF 211.00,CHF 21.10
16,OLMA,Studio mit Panoramaaussicht,CHF 600.00,CHF 60.00
17,OLMA,"2.5 Zimmer, modern, ruhig und zentrumsnah",CHF 373.00,CHF 37.30
18,OLMA,Historischer Charme in der Altstadt. Superior-DZ,CHF 239.00,CHF 23.90
19,OLMA,Fühlen sie sich wie zu Hause,CHF 541.00,CHF 54.10
20,OLMA,2. Modernes Apartment 2 Min vom Bahnhof,CHF 510.00,CHF 51.00
21,OLMA,Weltbürger:in 7,CHF 90.00,CHF 9.00
22,OLMA,Studio mit Charme und Aussicht,CHF 600.00,CHF 60.00
23,OLMA,Ganze Wohnung mitten in der Altstadt von Arbon,CHF 612.00,CHF 61.20
24,OLMA,TouchBed | Budget Zwei-Bett-Zimmer,CHF 878.00,CHF 87.80
25,OLMA,Es können zwei Personen darin schlafen.,CHF 397.00,CHF 39.70
26,OLMA,Bijoux Ferienwohnung auf Bauernhof im Wald,CHF 916.00,CHF 91.60
27,OLMA,hübsche Wohnung mit Sonnenterrasse,CHF 980.00,CHF 98.00
28,OLMA,Kernsanierte Wohnung nähe Bahnhof und Zentrum,CHF 150.00,CHF 15.00
29,OLMA,Charmante Wohnung im Zentrum von Goldach,CHF 771.00,CHF 77.10
30,OLMA,Idyllische Wohnung in der Natur,CHF 426.00,CHF 42.60
31,OLMA,TouchBed | Budget-Studio,CHF 237.00,CHF 23.70
32,OLMA,Bella Vista,CHF 3.00,CHF 0.30
33,OLMA,"Stilvolles, historisches Doppelzimmer/ Altstadt",CHF 24.00,CHF 2.40
34,OLMA,Gästezimmer mit Dusche/WC,CHF 688.00,CHF 68.80
35,OLMA,"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",CHF 842.00,CHF 84.20
36,OLMA,Studio Trailalps: in der Nähe von St. Gallen,CHF 657.00,CHF 65.70
37,OLMA,Modernes Studio nahe Bodensee | Ruhig & zentral,CHF 640.00,CHF 64.00
38,OLMA,Mein Haus ihr Haus,CHF 501.00,CHF 50.10
39,OLMA,Ferienwohnung Narnia,CHF 876.00,CHF 87.60
40,OLMA,Stadtstudio,CHF 899.00,CHF 89.90
41,OLMA,Die gesamte MIND the GAP Villa,CHF 733.00,CHF 73.30
42,OLMA,Grosszügige Garten-Wohnung,CHF 740.00,CHF 74.00
43,OLMA,2.5 Zimmer Dachwohnung mit Gartensitzplatz,CHF 78.00,CHF 7.80
44,OLMA,Schönes Zimmer in der Nähe des Stadtzentrums,CHF 383.00,CHF 38.30
45,OLMA,Modernes Apartment mit Balkon & Parkplatz/Nähe See,CHF 13.00,CHF 1.30
46,OLMA,Wohnung 2-3 Bett in Rorschach am Bodensee,CHF 891.00,CHF 89.10
47,OLMA,gemütliches Zimmer mit Privatsphäre,CHF 428.00,CHF 42.80
48,OLMA,"Stilvolle Wohnung, historischer Charme/Altstadt",CHF 289.00,CHF 28.90
49,OLMA,spezielle Wohnung in Goldach,CHF 748.00,CHF 74.80
50,OLMA,TouchBed | Budget Einzelzimmer,CHF 897.00,CHF 89.70
51,OLMA,TouchBed | Große 4-Zimmer-Wohnung im Obergeschoss,CHF 11.00,CHF 1.10
52,OLMA,Casa Siddhartha - „H.Hesse“,CHF 429.00,CHF 42.90
53,OLMA,Zentrales Studio | 5 Min. zum Bahnhof,CHF 163.00,CHF 16.30
54,OLMA,Helle Wohnung in Rorschacherberg am Bodensee,CHF 730.00,CHF 73.00
55,OLMA,"Einfamilienhaus, freistehend, 2 SZ, Nähe Zentrum",CHF 160.00,CHF 16.00
56,OLMA,"BLIV: Design-Apartment mit Parkplatz, nahe Zentrum",CHF 70.00,CHF 7.00
57,OLMA,Haus am Bodensee mit grossem Garten,CHF 505.00,CHF 50.50
58,OLMA,gemütliche Wohnung,CHF 162.00,CHF 16.20
59,OLMA,Stadtwohnung mit Küche & gratis Parkplatz,CHF 42.00,CHF 4.20
60,OLMA,TouchBed | Superior-Studio,CHF 543.00,CHF 54.30
61,OLMA,Charmante grosse Wohnung nähe Zentrum und Autobahn,CHF 972.00,CHF 97.20
62,OLMA,1er Zimmer ruhig 5 Min. bis ÖV,CHF 602.00,CHF 60.20
63,OLMA,Ruhiges Loft am Park (Anliegerstrasse) - Bodensee,CHF 759.00,CHF 75.90
64,OLMA,TouchBed | Große 3-Zimmer-Wohnung Erdgeschoss,CHF 62.00,CHF 6.20
65,OLMA,"Gelb, gelb, gelb, gelb!",CHF 596.00,CHF 59.60
66,OLMA,Ganzes Haus mit Pool und Homecinema in Rotmonten,CHF 60.00,CHF 6.00
67,OLMA,Stilvolles Doppelzimmer/Historisches Altstadtflair,CHF 96.00,CHF 9.60
68,OLMA,Zentrales Studio | 5 Min. zum Bahnhof,CHF 177.00,CHF 17.70
69,OLMA,TouchBed | Budget Doppelzimmer,CHF 974.00,CHF 97.40
70,OLMA,Studio mit Balkon in der Altstadt von St. Gallen,CHF 646.00,CHF 64.60
71,OLMA,Säntiszimmer,CHF 438.00,CHF 43.80
72,OLMA,Ruhiges Tiny House in der Nähe des Waldes,CHF 233.00,CHF 23.30
73,OLMA,1. Modernes Apartment 2 Min vom Bahnhof,CHF 510.00,CHF 51.00
74,OLMA,Ferienwohnung klein aber fein,CHF 840.00,CHF 84.00
75,OLMA,"Klara 0002 - Olma, Spital, Universität St. Gallen",CHF 909.00,CHF 90.90
76,OLMA,Casa Siddhartha - R. Musil,CHF 497.00,CHF 49.70
77,OLMA,TouchBed | Budget-Wohnung,CHF 903.00,CHF 90.30
78,OLMA,Charmante Wohnung mit Blick zum Säntis,CHF 688.00,CHF 68.80
79,OLMA,St Gallen City- 5 min. vom Bahnhof- klein & fein,CHF 199.00,CHF 19.90
80,OLMA,TouchBed | Loft mit Loggia und Whirlpool,CHF 809.00,CHF 80.90
81,OLMA,"Charmante, sehr zentral gelegene 4-Zimmerwohnung",CHF 666.00,CHF 66.60
82,OLMA,Genieße den Seeblick von der Dachterrasse,CHF 666.00,CHF 66.60
83,OLMA,CityLodge St.Gallen - Großes Doppelzimmer,CHF 49.00,CHF 4.90
84,OLMA,Ein bett im Keller/ Abstellraum,CHF 427.00,CHF 42.70
85,OLMA,Appartment mit luxeriösem Bad,CHF 256.00,CHF 25.60
86,OLMA,Elegante Maisonette mit See-Panorama in Rorschach,CHF 306.00,CHF 30.60
87,OLMA,Charmante und zentrale Wohnung am Weiherpark Arbon,CHF 280.00,CHF 28.00
88,OLMA,2-Zimmer Apartment in der Altstadt von St. Gallen,CHF 825.00,CHF 82.50
89,OLMA,"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",CHF 583.00,CHF 58.30
90,OLMA,book2stay: modernes Studio an Top Lage (Olma Messe,CHF 783.00,CHF 78.30
91,OLMA,Zentrale Stadtwohnung mit Terasse,CHF 939.00,CHF 93.90
92,OLMA,Vintage Rustica 31 zur Olma 1 Min.,CHF 583.00,CHF 58.30
93,OLMA,BLIV: Exklusive Dachgeschosswohnung im Zentrum,CHF 854.00,CHF 85.40
94,OLMA,Moderne Wohnung nahe Messe und Zentrum,CHF 985.00,CHF 98.50
95,OLMA,CityLodge St. Gallen - Economy Doppelzimmer,CHF 995.00,CHF 99.50
96,OLMA,Ruhiger Ort auf dem Dorfhügel Wittenbach,CHF 381.00,CHF 38.10
97,OLMA,Exklusive Jugendstil-Wohnung Nähe Olma/Uni/Zentrum,CHF 621.00,CHF 62.10
98,OLMA,Stilvoll&zentral in St.Gallen -WYBA Living,CHF 564.00,CHF 56.40
99,OLMA,Alphäuschen am Wald inmitten Natur mit Sauna,CHF 469.00,CHF 46.90
100,OLMA,Ferienwohnung Hirschen,CHF 381.00,CHF 38.10
