Unterkünfte in St. Gallen während dem Openair St. Gallen (25.06.-28.06.2026);;;
#;Name der Unterkunft;Preis pro Nacht (CHF);Gesamtpreis 3 Nächte (CHF)
97;YELLOW INN B 26 nähe Uni, Olma, Spital, FHS;281.67;845
98;NTN House;101.33;304
99;Einfach Natur und Schweiz pur :);81;243
100;"Säntis, ruhige Lage, freundl. Zimmer "", seenah.";76.67;230
;;;
;;;
Unterkünfte in St. Gallen während der OLMA (08.10.-18.10.2026);;;
#;Name der Unterkunft;Preis pro Nacht (CHF);Gesamtpreis 10 Nächte (CHF)
1;Das Haus mit dem Schwein;43.6;436
2;St.Gallen zentral, ruhig, bei Badeweihern und Wald;103.4;1’034.00
3;Gemütliche Wohnung;77.9;779
4;4 Zimmer mit Charme an bester Lage;130.6;1’306.00
5;Studio im UG an ruhiger Lage;77.3;773
6;St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;77.3;773
7;Studio mit Panoramaaussicht;60;600
8;Gästezimmer mit Dusche/WC;57.1;571
9;Idyllische Wohnung in der Natur;142.6;1’426.00
10;Zur Geduld (direkt am Bahnhof);70.6;706
11;BLIV: Grosszügiges Altbaujuwel im Zentrum;342.1;3’421.00
12;heimelige Wohnung in Goldach;67.4;674
13;Stilvolle Wohnung, historischer Charme/Altstadt;224.3;2’243.00
14;1 Zimmerwohnung ohne Küche mitten im Zentrum;74.3;743
15;Bijoux Ferienwohnung auf Bauernhof im Wald;91.6;916
16;hübsche Wohnung mit Sonnenterrasse;98;980
17;2. Modernes Apartment 2 Min vom Bahnhof;151;1’510.00
18;2.5 Zimmer Dachwohnung mit Gartensitzplatz;107.8;1’078.00
19;Kernsanierte Wohnung nähe Bahnhof und Zentrum;115;1’150.00
20;Studio mit Charme und Aussicht;60;600
21;2.5 Zimmer, modern, ruhig und zentrumsnah;137.3;1’373.00
22;Historischer Charme in der Altstadt. Superior-DZ;123.9;1’239.00
23;2 Zimmer mit Balkon, Netflix und Mietfahrräder;104.6;1’046.00
24;Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus;84.2;842
25;Studio in ruhigem Quartier/UG;98.5;985
26;gemütliches Zimmer mit Privatsphäre;42.8;428
27;gemütliche Dachwohnung;91.6;916
28;Weltbürger:in 7;109;1’090.00
29;1-Zimmer-Wohnung, voll möbliert, modern, zentral;96.9;969
30;Ganze Wohnung mitten in der Altstadt von Arbon;61.2;612
31;Modernes Apartment mit Balkon & Parkplatz/Nähe See;201.3;2’013.00
32;Fühlen sie sich wie zu Hause;54.4;544
33;Bella Vista;99.7;997
34;Zentrales Studio | 5 Min. zum Bahnhof;113.9;1’139.00
35;Ferienwohnung Narnia;87.7;877
36;Haus am Bodensee mit grossem Garten;150.5;1’505.00
37;Es können zwei Personen darin schlafen.;39.7;397
38;Studio Trailalps: in der Nähe von St. Gallen;65.7;657
39;Charmante grosse Wohnung nähe Zentrum und Autobahn;97.3;973
40;Charmante Wohnung mit Blick zum Säntis;162.6;1’626.00
41;Auszeit an der Sitter (Hunde erlaubt);114.7;1’147.00
42;Charmante Wohnung im Zentrum von Goldach;77.2;772
43;Mein Haus ihr Haus;50.1;501
44;Stilvolles, historisches Doppelzimmer/ Altstadt;101.7;1’017.00
45;Einfamilienhaus, freistehend, 2 SZ, Nähe Zentrum;216;2’160.00
46;Heimeliges altes Ferienhäuschen in Wald AR;102.8;1’028.00
47;spezielle Wohnung in Goldach;74.8;748
48;Ferienwohnung Hirschen;138.1;1’381.00
49;1. Modernes Apartment 2 Min vom Bahnhof;151;1’510.00
50;Modernes Studio nahe Bodensee | Ruhig & zentral;64;640
51;Altstadt Dachwohnung;141.2;1’412.00
52;Wohnung 2-3 Bett in Rorschach am Bodensee;91;910
53;Ferien auf dem Billenberghof;148.6;1’486.00
54;Zentrales Studio | 5 Min. zum Bahnhof;115.3;1’153.00
55;Genieße den Seeblick von der Dachterrasse;167.9;1’679.00
56;Casa Siddhartha - R. Musil;49.7;497
57;BLIV: Design-Apartment mit Parkplatz, nahe Zentrum;307;3’070.00
58;Schönes Zimmer in der Nähe des Stadtzentrums;38.3;383
59;Stadtstudio;89.9;899
60;TouchBed | Budget Zwei-Bett-Zimmer;98.3;983
61;Ferienwohnung klein aber fein;84;840
62;Idyllisches Plätzchen in Thurgauer Weiler;84.2;842
63;St Gallen City- 5 min. vom Bahnhof- klein & fein;119.9;1’199.00
64;Casa Siddhartha - „H.Hesse“;42.9;429
65;Charmante und zentrale Wohnung am Weiherpark Arbon;128;1’280.00
66;BLIV: Exklusive Dachgeschosswohnung im Zentrum;291.3;2’913.00
67;Nani’s Höckli im Appenzellerland;81.4;814
68;Appartment mit luxeriösem Bad;125.6;1’256.00
69;Zu Gast im Hecht Rehetobel;70.4;704
70;Umweltfreundl. Rooftop Apart. St. Gallen Zentrum;205.4;2’054.00
71;Studio mit Balkon in der Altstadt von St. Gallen;169.3;1’693.00
72;Charmante, sehr zentral gelegene 4-Zimmerwohnung;167.3;1’673.00
73;Gelb, gelb, gelb, gelb!;159.6;1’596.00
74;Ferienwohnung Haggen;126.8;1’268.00
75;TouchBed | Große 4-Zimmer-Wohnung im Obergeschoss;401.1;4’011.00
76;Ganzes Haus mit Pool und Homecinema in Rotmonten;506;5’060.00
77;Historisches Penthouse-Apartment in der Altstadt;179.3;1’793.00
78;Gemütliche Ferienwohnung auf Bio Bauernhof;99.2;992
79;Altstadtflair in historischem Doppelzimmer;111;1’110.00
80;Schmuckes Zimmer (Bett 140x200 ) nahe REHA Klinik;41.8;418
81;1er Zimmer ruhig 5 Min. bis ÖV;60.2;602
82;TouchBed | Budget-Studio;135.2;1’352.00
83;Zwei helle Zimmer, Küche und Bad;84;840
84;TouchBed | Große 3-Zimmer-Wohnung Erdgeschoss;306.2;3’062.00
85;Stilvolles Doppelzimmer/Historisches Altstadtflair;110;1’100.00
86;Bijou in der Stadt St. Gallen;140.7;1’407.00
87;2-Zimmer Apartment in der Altstadt von St. Gallen;179.9;1’799.00
88;Zentrale Stadtwohnung mit Terasse;193.9;1’939.00
89;Stadtwohnung mit Küche & gratis Parkplatz;214.6;2’146.00
90;Geräumige 95 m² Wohnung • Balkon • Bergblick;143.3;1’433.00
91;Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN;41.8;418
92;grosse Privat-Zimmer in sonnigem Einfamilienhaus;55.7;557
93;Schöne 2 1/2 Zimmer Dachwohnung;107.8;1’078.00
94;Stilvoll&zentral in St.Gallen -WYBA Living;157.9;1’579.00
95;Säntiszimmer;43.8;438
96;Ruhiges Loft am Park (Anliegerstrasse) - Bodensee;81.5;815
97;St. Gallen ist schön;50.6;506
98;Gemütliche Souterrainwohnung mit gratis Parkplatz;135.7;1’357.00
99;2 Kronberg ruhige Lage, freundl. Zimmer, seenah;59.4;594
100;Helle Wohnung in Rorschacherberg am Bodensee;73;730
