OpenAir St. Gallen;;
"BLIV: Design-Apartment mit Parkplatz; nahe Zentrum";52 CHF;17.33 CHF
Appenzeller Hausteil mit Garten;449 CHF;149.67 CHF
Moderne Stadtwohnung;595 CHF;198.33 CHF
Ruhige Lage am Bodensee;704 CHF;234.67 CHF
Ruhiges Tiny House in der Nähe des Waldes;475 CHF;158.33 CHF
Swissyurte (Rundhaus) Natur pur Ideal für 2 Pers.;230 CHF;76.67 CHF
Gemütliche Souterrainwohnung mit gratis Parkplatz;847 CHF;282.33 CHF
Haus MiLu Ferienwohnung;450 CHF;150.00 CHF
Designstudio 55 m² – St. Georgen-Straße;919 CHF;306.33 CHF
Dom Studio M ohne Reinigung;810 CHF;270.00 CHF
Nani’s Höckli im Appenzellerland;312 CHF;104.00 CHF
Gästezimmer im Grünen;225 CHF;75.00 CHF
TouchBed | Loft mit Loggia und Whirlpool;527 CHF;175.67 CHF
Ruhe für Musiker! B&B am Bodensee.;307 CHF;102.33 CHF
Wellnessoase;888 CHF;296.00 CHF
"YELLOW INN 7 nähe Uni; Olma; Spital; FHS";845 CHF;281.67 CHF
Modernes Studio – Steigerstraße;701 CHF;233.67 CHF
Penthouse-Wohnung mit 250 m² Terrasse;909 CHF;303.00 CHF
Helle Wohnung in Rorschacherberg am Bodensee;271 CHF;90.33 CHF
TouchBed | Business Apartment Top Floor;769 CHF;256.33 CHF
Zimmer an der Fahrradroute am Bodensee;262 CHF;87.33 CHF
Schlossapartament;375 CHF;125.00 CHF
3 Doppelzimmer Apartment in 9320 Arbon 8 A;425 CHF;141.67 CHF
Das Rocky Docky-Haus gemütliche Wohnung in Andwil;343 CHF;114.33 CHF
"2 Kronberg ruhige Lage; freundl. Zimmer; seenah";228 CHF;76.00 CHF
"Klara 0002 - Olma; Spital; Universität St. Gallen";221 CHF;73.67 CHF
"Ferienhaus Bijou-Sitterblick; Preis für 2 Personen";358 CHF;119.33 CHF
Studio mit Balkon in der Altstadt von St. Gallen;471 CHF;157.00 CHF
NTN HoSTEL 3;190 CHF;63.33 CHF
Ganze Wohnung nahe Messe & Zentrum;627 CHF;209.00 CHF
Lago Apartment in Rorschach 1 Min. zum See;636 CHF;212.00 CHF
Einzelbett in einem Schlafsaal mit 6 Betten;181 CHF;60.33 CHF
"Klara 1033 - Olma; Spital; Universität St. Gallen";261 CHF;87.00 CHF
"YELLOW INN B 28 nähe Uni; Olma; Spital; FHS";845 CHF;281.67 CHF
Superior Apartment mit Seesicht;585 CHF;195.00 CHF
"Klara 1014 – Olma; Spital; Uni St. Gallen";344 CHF;114.67 CHF
Casa Siddhartha - Th. Mann;179 CHF;59.67 CHF
Ruhiger Ort auf dem Dorfhügel Wittenbach;115 CHF;38.33 CHF
Dom Studio K ohne Reinigung;782 CHF;260.67 CHF
Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN;155 CHF;51.67 CHF
Zimmer für 4 Personen;403 CHF;134.33 CHF
Vintage Rustica 31 zur Olma 1 Min.;926 CHF;308.67 CHF
Zimmer für 3 Personen;382 CHF;127.33 CHF
Seeblick-Apartment mit Balkon;737 CHF;245.67 CHF
Schöne Wohnung 5 Minuten vom Bodensee entfernt;672 CHF;224.00 CHF
S-Cape Suite&Spa - Pure Auszeit;704 CHF;234.67 CHF
book2stay 2.5-Zimmer Apartment #8 Säntis bis zu 6;988 CHF;329.33 CHF
"Haus mit Garten; ruhig; Top Aussicht (Zimmer 2)";258 CHF;86.00 CHF
hübsche 2 1/2 Zimmer Dachwohnung;300 CHF;100.00 CHF
Zentrale 3 1/2-grosse Wohnung 2.OG;803 CHF;267.67 CHF
Gemütliches Zimmer im ruhigen Rorschacherberg Haus - 2;265 CHF;88.33 CHF
"schöne Wohnung in Flawil - neu; naturnah; ruhig";594 CHF;198.00 CHF
;;
OLMA St. Gallen;;
name;price;Preis pro Nacht
Das Haus mit dem Schwein;436 CHF;43.60 CHF
St.Gallen zentral ruhig  bei Badeweihern und Wald;1’034 CHF;103.40 CHF
Gemütliche Wohnung;779 CHF;77.90 CHF
4 Zimmer mit Charme an bester Lage;773 CHF;77.30 CHF
Studio im UG an ruhiger Lage;600 CHF;60.00 CHF
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;571 CHF;57.10 CHF
Studio mit Panoramaaussicht;1’426 CHF;142.60 CHF
Gästezimmer mit Dusche/WC;706 CHF;70.60 CHF
Idyllische Wohnung in der Natur;674 CHF;67.40 CHF
Zur Geduld (direkt am Bahnhof);600 CHF;60.00 CHF
BLIV: Grosszügiges Altbaujuwel im Zentrum;1’156 CHF;115.60 CHF
heimelige Wohnung in Goldach;913 CHF;91.30 CHF
Schönes Zimmer in der Nähe von HSG;2’243 CHF;224.30 CHF
Historischer Charme in der Altstadt. Superior DZ;916 CHF;91.60 CHF
Deine ruhige Basis mit eigenem Balkon;743 CHF;74.30 CHF
Ferienwohnung im Fürstenland 2.OG;1’510 CHF;151.00 CHF
2.5 Zimmer Dachwohnung mit Gartensitzplatz;600 CHF;60.00 CHF
Studio mit Charme und Aussicht;2’243 CHF;224.30 CHF
2.5 Zimmer modern ruhig und zentrumsnah;612 CHF;61.20 CHF
Stilvolle Wohnung  historischer Charme/Altstadt;544 CHF;54.40 CHF
gemütliches Zimmer mit Privatsphäre;916 CHF;91.60 CHF
Zentrales  gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus;1’090 CHF;109.00 CHF
2 Zimmer mit Balkon  Netflix und Mietfahrräder;877 CHF;87.70 CHF
Studio in ruhigem Quartier/UG;997 CHF;99.70 CHF
Ganze Wohnung mitten in der Altstadt von Arbon;1’139 CHF;113.90 CHF
Fühlen sie sich wie zu Hause;1’505 CHF;150.50 CHF
Studio Trailalps: in der Nähe von St. Gallen;657 CHF;65.70 CHF
Es können zwei Personen darin schlafen.;397 CHF;39.70 CHF
Charmante Wohnung mit Blick zum Säntis;1’626 CHF;162.60 CHF
Auszeit an der Sitter (Hunde erlaubt);1’028 CHF;102.80 CHF
Heimeliges altes Ferienhäuschen in Wald AR;973 CHF;97.30 CHF
Charmante grosse Wohnung nähe Zentrum und Autobahn;544 CHF;54.40 CHF
Stilvolles  historisches Doppelzimmer/ Altstadt;640 CHF;64.00 CHF
Modernes Studio nahe Bodensee | Ruhig & zentral;772 CHF;77.20 CHF
Charmante Wohnung im Zentrum von Goldach;1’412 CHF;141.20 CHF
Altstadt Dachwohnung;910 CHF;91.00 CHF
Wohnung 2-3 Bett in Rorschach am Bodensee;1’381 CHF;138.10 CHF
Ferienwohnung Hirschen;1’510 CHF;151.00 CHF
1. Modernes Apartment 2 Min vom Bahnhof;2’160 CHF;216.00 CHF
Ferienwohnung klein aber fein;497 CHF;49.70 CHF
Einfamilienhaus  freistehend 2 SZ  Nähe Zentrum;383 CHF;38.30 CHF
Schönes Zimmer in der Nähe des Stadtzentrums;383 CHF;38.30 CHF
Idyllisches Plätzchen in Thurgauer Weiler;842 CHF;84.20 CHF
Ferienwohnung Haggen;1’153 CHF;115.30 CHF
Zentrales Studio | 5 Min. zum Bahnhof;1’486 CHF;148.60 CHF
TouchBed | Budget Zwei-Bett-Zimmer;704 CHF;70.40 CHF
Ferien auf dem Billenberghof;899 CHF;89.90 CHF
Zu Gast im Hecht Rehetobel;497 CHF;49.70 CHF
Genieße den Seeblick von der Dachterrasse;1’256 CHF;125.60 CHF
Stadtstudio;602 CHF;60.20 CHF
spezielle Wohnung in Goldach;1’280 CHF;128.00 CHF
Casa Siddhartha - R. Musil;418 CHF;41.80 CHF
BLIV: Design-Apartment mit Parkplatz  nahe Zentrum;1’199 CHF;119.90 CHF
Zwei helle Zimmer  Küche und Bad;992 CHF;99.20 CHF
Gemütliche Ferienwohnung auf Bio Bauernhof;1’673 CHF;167.30 CHF
Studio mit Balkon in der Altstadt von St. Gallen;2’054 CHF;205.40 CHF
Charmante  sehr zentral gelegene 4-Zimmerwohnung;594 CHF;59.40 CHF
Säntiszimmer;1’110 CHF;111.00 CHF
Historisches Penthouse-Apartment in der Altstadt;418 CHF;41.80 CHF
Umweltfreundl. Rooftop Apart. St. Gallen Zentrum;5’060 CHF;506.00 CHF
2 Kronberg ruhige Lage  freundl. Zimmer  seenah;1’100 CHF;110.00 CHF
Ruhiges Loft am Park (Anliegerstrasse) - Bodensee;557 CHF;55.70 CHF
Altstadtflair in historischem Doppelzimmer;1’236 CHF;123.60 CHF
Zimmer Bulli;554 CHF;55.40 CHF
Helle Wohnung in Rorschacherberg am Bodensee;730 CHF;73.00 CHF
Geräumige 95 m² Wohnung • Balkon • Bergblick;1’433 CHF;143.30 CHF
Säntis ruhige Lage freundl. Zimmer seenah;577 CHF;57.70 CHF
Stadtwohnung mit Küche & gratis Parkplatz;506 CHF;50.60 CHF
Zimmer an der Fahrradroute am Bodensee;1’579 CHF;157.90 CHF
St. Gallen ist schön;1’078 CHF;107.80 CHF
Ruhe für Musiker! B&B am Bodensee.;2’306 CHF;230.60 CHF
Stilvoll&zentral in St.Gallen -WYBA Living;1’939 CHF;193.90 CHF
Schöne 2 1/2 Zimmer Dachwohnung;1’583 CHF;158.30 CHF
1- Zimmer Einlieger-Wohnung (Studio Apartment);883 CHF;88.30 CHF
Das Rocky Docky-Haus gemütliche Wohnung in Andwil;889 CHF;88.90 CHF
Seeblick-Apartment mit Balkon;1’497 CHF;149.70 CHF
Tiny House Nähe Sitter;1’621 CHF;162.10 CHF
TouchBed | Große 3-Zimmer-Wohnung Erdgeschoss;2’745 CHF;274.50 CHF
Haus MiLu Ferienwohnung;1’145 CHF;114.50 CHF
Klara 0002 - Olma Spital  Universität St. Gallen;3’478 CHF;347.80 CHF
Exklusive Jugendstil-Wohnung Nähe Olma/Uni/Zentrum;1’353 CHF;135.30 CHF
3 Doppelbett Business Apartment am Bodensee;747 CHF;74.70 CHF
Gemütliche Unterkunft am ruhigen Stadtrand;468 CHF;46.80 CHF
Ruhige Lage am Bodensee;1’353 CHF;135.30 CHF
Casa Siddhartha - Th. Mann;1’453 CHF;145.30 CHF
TouchBed | Budget-Wohnung;747 CHF;74.70 CHF
Lago Apartment in Rorschach 1 Min. zum See;1’583 CHF;158.30 CHF
Herzige Dachwohnung in St. Georgen St. Gallen;1’008 CHF;100.80 CHF
Gemütliches Zimmer im ruhigen Rorschacherberg Haus - 2;2’811 CHF;281.10 CHF
YELLOW INN 7 nähe Uni Olma Spital FHS;2’321 CHF;232.10 CHF
Schlossapartament;680 CHF;68.00 CHF
TouchBed | Budget Doppelzimmer;2’296 CHF;229.60 CHF
Designstudio 75 m2 - St. Georgen-Straße;980 CHF;98.00 CHF
Ruhiger Ort auf dem Dorfhügel Wittenbach;2’380 CHF;238.00 CHF
Wohnung 2-6 Pers in der Nähe der Stadt mit kostenl;2’321 CHF;232.10 CHF
Leimathof Wohnung Typ I (LZ);2’296 CHF;229.60 CHF
Stilvolles Studio Apartment bei der Messe Olma;1’993 CHF;199.30 CHF
book2stay 2-Zi Apartment #6 Ebenalp bis 4 Personen;2’380 CHF;238.00 CHF
Haus mit Garten ruhig Top Aussicht (Zimmer 1);1’566 CHF;156.60 CHF
Stilvolle Wohnung mit Balkon nahe Bodensee;579 CHF;57.90 CHF
