event;listing_title;listing_subtitle;price_main;price_noDiscount;price_discount;effective_price;price_per_night
OpenAir;Wohnung in St. Gallen;Herzige Dachwohnung in St. Georgen, St. Gallen;422 CHF;;;422 CHF;140.67
OpenAir;Wohnung in St. Gallen;Moderne Stadtwohnung;595 CHF;;;595 CHF;198.33
OpenAir;Tiny House in Rorschacherberg;Ruhiges Tiny House in der Nähe des Waldes;475 CHF;;;475 CHF;158.33
OpenAir;Wohnung in Arbon;Gemütliches Apartment am Schloss;360 CHF;;;360 CHF;120
OpenAir;Wohnung in Rorschach;Stilvolle Wohnung mit Balkon nahe Bodensee;614 CHF;;;614 CHF;204.67
OpenAir;Wohnung in Rorschach;Maisonette am Bodensee | Parkplatz | Hoher Komfort;1’103 CHF;;;1’103 CHF;367.67
OpenAir;Gästehaus in Wittenbach;Säntiszimmer;132 CHF;;;132 CHF;44
OpenAir;Wohnung in St. Gallen;BLIV: Design-Apartment mit Parkplatz, nahe Zentrum;2’111 CHF;;;2’111 CHF;703.67
OpenAir;Wohnung in Rehetobel;Nani’s Höckli im Appenzellerland;312 CHF;;;312 CHF;104
OpenAir;Wohnung in St. Gallen;Stadtwohnung mit Küche & gratis Parkplatz;1’300 CHF;;;1’300 CHF;433.33
OpenAir;Wohnung in Rorschach;Ruhige Lage am Bodensee;704 CHF;;;704 CHF;234.67
OpenAir;Wohnung in St. Gallen;Ruhig, Gratis Parkplatz, Balkon & im 1. Stockwerk;1’214 CHF;;;1’214 CHF;404.67
OpenAir;Zimmer in Teufen;Gästezimmer im Grünen;225 CHF;;;225 CHF;75
OpenAir;Zimmer in Rorschach;Ruhe für Musiker! B&B am Bodensee.;307 CHF;;;307 CHF;102.33
OpenAir;Wohnung in St. Gallen;Designstudio 55 m² – St. Georgen-Straße;919 CHF;;;919 CHF;306.33
OpenAir;Unterkunft in St. Gallen;Dom Studio K ohne Reinigung;784 CHF;;;784 CHF;261.33
OpenAir;Unterkunft in St. Gallen;Dom Studio M ohne Reinigung;812 CHF;;;812 CHF;270.67
OpenAir;Eigentumswohnung in Arbon;Haus MiLu Ferienwohnung;450 CHF;;;450 CHF;150
OpenAir;Privatunterkunft in Eggersriet;Appenzeller Hausteil mit Garten;449 CHF;;;449 CHF;149.67
OpenAir;Wohnung in St. Gallen;TouchBed | Business Apartment Top Floor;769 CHF;;;769 CHF;256.33
OpenAir;Wohnung in St. Gallen;TouchBed | Loft mit Loggia und Whirlpool;1’527 CHF;;;1’527 CHF;509
OpenAir;Jurte (Rundzelt) in Bischofszell;Swissyurte (Rundhaus) Natur pur Ideal für 2 Pers.;230 CHF;;;230 CHF;76.67
OpenAir;Zimmer in Horn;Zimmer an der Fahrradroute am Bodensee;;225 CHF;261 CHF;261 CHF;87
OpenAir;Wohnung in St. Gallen;Modernes Studio – Steigerstraße;701 CHF;;;701 CHF;233.67
OpenAir;Privatunterkunft in Winden;Wellnessoase;888 CHF;;;888 CHF;296
OpenAir;Wohnung in St. Gallen;Gemütliche Souterrainwohnung mit gratis Parkplatz;859 CHF;;;859 CHF;286.33
OpenAir;Unterkunft in St. Gallen;YELLOW INN 7 nähe Uni, Olma, Spital, FHS;880 CHF;;;880 CHF;293.33
OpenAir;Wohnung in Arbon;Schlossapartament;;330 CHF;375 CHF;375 CHF;125
OpenAir;Wohnung in St. Gallen;Klara 0002 - Olma, Spital, Universität St. Gallen;1’227 CHF;;;1’227 CHF;409
OpenAir;Wohnung in Rorschach;Superior Apartment mit Seesicht;585 CHF;;;585 CHF;195
OpenAir;Wohnung in Rorschach;Penthouse-Wohnung mit 250 m² Terrasse;909 CHF;;;909 CHF;303
OpenAir;Wohnung in Arbon;3 Doppelzimmer Apartment in 9320 Arbon 8 A;425 CHF;;;425 CHF;141.67
OpenAir;Gemeinsames Zimmer in St. Gallen;NTN HoSTEL 3;190 CHF;;;190 CHF;63.33
OpenAir;Eigentumswohnung in St. Gallen;Ganze Wohnung nahe Messe & Zentrum;1’627 CHF;;;1’627 CHF;542.33
OpenAir;Blockhütte in Bischofszell;Ferienhaus Bijou-Sitterblick, Preis für 2 Personen;358 CHF;;;358 CHF;119.33
OpenAir;Zimmer in Arbon;"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah";228 CHF;;;228 CHF;76
OpenAir;Wohnung in Rorschacherberg;Helle Wohnung in Rorschacherberg am Bodensee;271 CHF;;;271 CHF;90.33
OpenAir;Gemeinsames Zimmer in St. Gallen;Einzelbett in einem Schlafsaal mit 6 Betten;181 CHF;;;181 CHF;60.33
OpenAir;Wohnung in St. Gallen;Studio mit Balkon in der Altstadt von St. Gallen;1’471 CHF;;;1’471 CHF;490.33
OpenAir;Wohnung in Rorschach;Lago Apartment in Rorschach 1 Min. zum See;636 CHF;;;636 CHF;212
OpenAir;Wohnung in St. Gallen;Klara 1014 – Olma, Spital, Uni St. Gallen;1’354 CHF;;;1’354 CHF;451.33
OpenAir;Eigentumswohnung in St. Gallen;Ganze Wohnung nahe Messe & Zentrum;1’627 CHF;;;1’627 CHF;542.33
OpenAir;Unterkunft in St. Gallen;YELLOW INN B 28 nähe Uni, Olma, Spital, FHS;880 CHF;;;880 CHF;293.33
OpenAir;Wohnung in St. Gallen;Klara 1033 - Olma, Spital, Universität St. Gallen;1’273 CHF;;;1’273 CHF;424.33
OpenAir;Wohnung in Andwil;Das Rocky Docky-Haus gemütliche Wohnung in Andwil;343 CHF;;;343 CHF;114.33
OpenAir;Zimmer in Sankt Gallen;Casa Siddhartha - Th. Mann;179 CHF;;;179 CHF;59.67
OpenAir;Zimmer in St. Gallen;Zimmer für 4 Personen;403 CHF;;;403 CHF;134.33
OpenAir;Wohnung in Arbon;Schöne Wohnung 5 Minuten vom Bodensee entfernt;672 CHF;;;672 CHF;224
OpenAir;Wohnung in Rorschach;Seeblick-Apartment mit Balkon;731 CHF;;;731 CHF;243.67
OpenAir;Zimmer in St. Gallen;Vintage Rustica 31 zur Olma 1 Min.;963 CHF;;;963 CHF;321
OpenAir;Zimmer in Zihlschlacht-Sitterdorf;Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN;155 CHF;;;155 CHF;51.67
OpenAir;Zimmer in Eggersriet;Haus mit Garten, ruhig, Top Aussicht (Zimmer 2);258 CHF;;;258 CHF;86
OpenAir;Wohnung in Horn;S-Cape Suite&Spa - Pure Auszeit;704 CHF;;;704 CHF;234.67
OpenAir;Zimmer in St. Gallen;Zimmer für 3 Personen;382 CHF;;;382 CHF;127.33
OpenAir;Zimmer in Wittenbach;Ruhiger Ort auf dem Dorfhügel Wittenbach;115 CHF;;;115 CHF;38.33
OpenAir;Eigentumswohnung in Sankt Gallen;Zentrale 3 1/2-grosse Wohnung 2.OG;803 CHF;;;803 CHF;267.67
OpenAir;Wohnung in Flawil;schöne Wohnung in Flawil - neu, naturnah, ruhig;594 CHF;;;594 CHF;198
OpenAir;Zimmer in St. Gallen;YELLOW INN B 26 nähe Uni, Olma, Spital, FHS;880 CHF;;;880 CHF;293.33
OpenAir;Zimmer in Speicher;Doppelzimmer ruhige Lage nahe ÖV;398 CHF;;;398 CHF;132.67
OLMA;Zimmer in St. Gallen;Das Haus mit dem Schwein;;436 CHF;628 CHF;628 CHF;62.8
OLMA;Wohnung in St. Gallen;St.Gallen zentral, ruhig, bei Badeweihern und Wald;;1’031 CHF;1’118 CHF;1’118 CHF;111.8
OLMA;Wohnung in St. Gallen;4 Zimmer mit Charme an bester Lage;1’306 CHF;;;1’306 CHF;130.6
OLMA;Wohnung in St. Gallen;Gemütliche Wohnung;;779 CHF;851 CHF;851 CHF;85.1
OLMA;Zimmer in St Gallen;St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;;773 CHF;843 CHF;843 CHF;84.3
OLMA;Wohnung in Speicherschwendi;Idyllische Wohnung in der Natur;;1’426 CHF;1’547 CHF;1’547 CHF;154.7
OLMA;Wohnung in St. Gallen;Studio mit Panoramaaussicht;;600 CHF;710 CHF;710 CHF;71
OLMA;Wohnung in St. Gallen;BLIV: Grosszügiges Altbaujuwel im Zentrum;3’421 CHF;;;3’421 CHF;342.1
OLMA;Wohnung in St. Gallen;Stilvolle Wohnung, historischer Charme/Altstadt;;2’243 CHF;2’448 CHF;2’448 CHF;244.8
OLMA;Unterkunft in St. Gallen;Gästezimmer mit Dusche/WC;;571 CHF;624 CHF;624 CHF;62.4
OLMA;Wohnung in St. Gallen;Zur Geduld (direkt am Bahnhof);;706 CHF;884 CHF;884 CHF;88.4
OLMA;Wohnung in St. Gallen;hübsche Wohnung mit Sonnenterrasse;980 CHF;;;980 CHF;98
OLMA;Wohnung in Goldach;heimelige Wohnung in Goldach;;674 CHF;730 CHF;730 CHF;73
OLMA;Wohnung in Sankt Gallen;2. Modernes Apartment 2 Min vom Bahnhof;;1’510 CHF;1’720 CHF;1’720 CHF;172
OLMA;Wohnung in St. Gallen;1 Zimmerwohnung ohne Küche mitten im Zentrum;;743 CHF;809 CHF;809 CHF;80.9
OLMA;Loft in Wittenbach;Bijoux Ferienwohnung auf Bauernhof im Wald;;916 CHF;1’047 CHF;1’047 CHF;104.7
OLMA;Wohnung in St. Gallen;Kernsanierte Wohnung nähe Bahnhof und Zentrum;1’150 CHF;;;1’150 CHF;115
OLMA;Wohnung in St. Gallen;2.5 Zimmer, modern, ruhig und zentrumsnah;1’373 CHF;;;1’373 CHF;137.3
OLMA;Zimmer in St. Gallen;Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus;842 CHF;;;842 CHF;84.2
OLMA;Zimmer in Herisau;gemütliches Zimmer mit Privatsphäre;428 CHF;;;428 CHF;42.8
OLMA;Eigentumswohnung in Gaiserwald;2.5 Zimmer Dachwohnung mit Gartensitzplatz;1’078 CHF;;;1’078 CHF;107.8
OLMA;Unterkunft in St. Gallen;Historischer Charme in der Altstadt. Superior-DZ;;1’239 CHF;1’418 CHF;1’418 CHF;141.8
OLMA;Wohnung in St. Gallen;2 Zimmer mit Balkon, Netflix und Mietfahrräder;1’046 CHF;;;1’046 CHF;104.6
OLMA;Wohnung in St. Gallen;Studio mit Charme und Aussicht;;600 CHF;710 CHF;710 CHF;71
OLMA;Wohnung in St. Gallen;gemütliche Dachwohnung;;916 CHF;999 CHF;999 CHF;99.9
OLMA;Wohnung in St. Gallen;Weltbürger:in 7;;1’090 CHF;1’185 CHF;1’185 CHF;118.5
OLMA;Wohnung in St. Gallen;Modernes Apartment mit Balkon & Parkplatz/Nähe See;2’013 CHF;;;2’013 CHF;201.3
OLMA;Wohnung in St. Gallen;1-Zimmer-Wohnung, voll möbliert, modern, zentral;969 CHF;;;969 CHF;96.9
OLMA;Wohnung in Arbon;Ganze Wohnung mitten in der Altstadt von Arbon;;612 CHF;690 CHF;690 CHF;69
OLMA;Zimmer in St. Gallen;Fühlen sie sich wie zu Hause;;544 CHF;594 CHF;594 CHF;59.4
OLMA;Wohnung in St. Gallen;Zentrales Studio | 5 Min. zum Bahnhof;;1’142 CHF;1’441 CHF;1’441 CHF;144.1
OLMA;Eigentumswohnung in Rehetobel;Ferienwohnung Narnia;;877 CHF;1’005 CHF;1’005 CHF;100.5
OLMA;Privatunterkunft in Goldach;Haus am Bodensee mit grossem Garten;;1’505 CHF;1’630 CHF;1’630 CHF;163
OLMA;Wohnung in Tübach;Bella Vista;;997 CHF;1’198 CHF;1’198 CHF;119.8
OLMA;Zimmer in St. Gallen;Es können zwei Personen darin schlafen.;;397 CHF;432 CHF;432 CHF;43.2
OLMA;Wohnung in Herisau;Charmante Wohnung mit Blick zum Säntis;;1’688 CHF;1’834 CHF;1’834 CHF;183.4
OLMA;Privatunterkunft in Wald;Heimeliges altes Ferienhäuschen in Wald AR;;1’028 CHF;1’177 CHF;1’177 CHF;117.7
OLMA;Eigentumswohnung in Rorschach;Genieße den Seeblick von der Dachterrasse;1’675 CHF;;;1’675 CHF;167.5
OLMA;Wohnung in Sankt Gallen;1. Modernes Apartment 2 Min vom Bahnhof;;1’510 CHF;1’720 CHF;1’720 CHF;172
OLMA;Wohnung in Speicherschwendi;Studio Trailalps: in der Nähe von St. Gallen;;657 CHF;797 CHF;797 CHF;79.7
OLMA;Privatunterkunft in St. Gallen;Einfamilienhaus, freistehend, 2 SZ, Nähe Zentrum;;2’160 CHF;2’366 CHF;2’366 CHF;236.6
OLMA;Gästehaus in Bischofszell;Auszeit an der Sitter (Hunde erlaubt);1’147 CHF;;;1’147 CHF;114.7
OLMA;Unterkunft in St. Gallen;Stilvolles, historisches Doppelzimmer/ Altstadt;;1’017 CHF;1’109 CHF;1’109 CHF;110.9
OLMA;Zimmer in St. Gallen;Mein Haus ihr Haus;;501 CHF;547 CHF;547 CHF;54.7
OLMA;Wohnung in Goldach;Charmante Wohnung im Zentrum von Goldach;;772 CHF;837 CHF;837 CHF;83.7
OLMA;Wohnung in St. Gallen;Charmante grosse Wohnung nähe Zentrum und Autobahn;;973 CHF;1’073 CHF;1’073 CHF;107.3
OLMA;Wohnung in St. Gallen;BLIV: Design-Apartment mit Parkplatz, nahe Zentrum;3’070 CHF;;;3’070 CHF;307
OLMA;Wohnung in Bischofszell;Altstadt Dachwohnung;;1’412 CHF;1’537 CHF;1’537 CHF;153.7
OLMA;Wohnung in St. Gallen;Ferien auf dem Billenberghof;;1’486 CHF;1’635 CHF;1’635 CHF;163.5
OLMA;Wohnung in Heiden;Ferienwohnung klein aber fein;840 CHF;;;840 CHF;84
OLMA;Zimmer in Sankt Gallen;Casa Siddhartha - R. Musil;;497 CHF;566 CHF;566 CHF;56.6
OLMA;Wohnung in Gossau;Ferienwohnung Hirschen;;1’381 CHF;1’563 CHF;1’563 CHF;156.3
OLMA;Wohnung in St. Gallen;Zentrales Studio | 5 Min. zum Bahnhof;;1’155 CHF;1’441 CHF;1’441 CHF;144.1
OLMA;Unterkunft in St. Gallen;TouchBed | Budget Zwei-Bett-Zimmer;983 CHF;;;983 CHF;98.3
OLMA;Wohnung in St. Gallen;Stadtstudio;;899 CHF;1’019 CHF;1’019 CHF;101.9
OLMA;Eigentumswohnung in Rorschach;Gelb, gelb, gelb, gelb!;1’596 CHF;;;1’596 CHF;159.6
OLMA;Wohnung in Rorschach;Wohnung 2-3 Bett in Rorschach am Bodensee;;906 CHF;1’039 CHF;1’039 CHF;103.9
OLMA;Wohnung in Arbon;Charmante und zentrale Wohnung am Weiherpark Arbon;;1’280 CHF;1’390 CHF;1’390 CHF;139
OLMA;Wohnung in Goldach;Modernes Studio nahe Bodensee | Ruhig & zentral;;640 CHF;755 CHF;755 CHF;75.5
OLMA;Wohnung in St. Gallen;TouchBed | Große 4-Zimmer-Wohnung im Obergeschoss;4’011 CHF;;;4’011 CHF;401.1
OLMA;Zimmer in Egnach;Idyllisches Plätzchen in Thurgauer Weiler;;842 CHF;1’012 CHF;1’012 CHF;101.2
OLMA;Wohnung in St. Gallen;Umweltfreundl. Rooftop Apart. St. Gallen Zentrum;;2’054 CHF;2’831 CHF;2’831 CHF;283.1
OLMA;Wohnung in Rorschach;Charmante, sehr zentral gelegene 4-Zimmerwohnung;;1’673 CHF;1’998 CHF;1’998 CHF;199.8
OLMA;Wohnung in Goldach;spezielle Wohnung in Goldach;748 CHF;;;748 CHF;74.8
OLMA;Zimmer in Sankt Gallen;Casa Siddhartha - „H.Hesse“;;429 CHF;487 CHF;487 CHF;48.7
OLMA;Wohnung in St. Gallen;BLIV: Exklusive Dachgeschosswohnung im Zentrum;2’904 CHF;;;2’904 CHF;290.4
OLMA;Wohnung in Oberegg;Ferienwohnung Haggen;1’268 CHF;;;1’268 CHF;126.8
OLMA;Wohnung in St. Gallen;St Gallen City- 5 min. vom Bahnhof- klein & fein;;1’199 CHF;1’619 CHF;1’619 CHF;161.9
OLMA;Wohnung in Rehetobel;Zu Gast im Hecht Rehetobel;;704 CHF;764 CHF;764 CHF;76.4
OLMA;Wohnung in St. Gallen;Historisches Penthouse-Apartment in der Altstadt;1’793 CHF;;;1’793 CHF;179.3
OLMA;Unterkunft in St. Gallen;Stilvolles Doppelzimmer/Historisches Altstadtflair;;1’100 CHF;1’200 CHF;1’200 CHF;120
OLMA;Wohnung in St. Gallen;TouchBed | Große 3-Zimmer-Wohnung Erdgeschoss;3’062 CHF;;;3’062 CHF;306.2
OLMA;Zimmer in Heiden;Zwei helle Zimmer, Küche und Bad;840 CHF;;;840 CHF;84
OLMA;Wohnung in St. Gallen;Appartment mit luxeriösem Bad;;1’256 CHF;1’372 CHF;1’372 CHF;137.2
OLMA;Wohnung in St. Gallen;Studio mit Balkon in der Altstadt von St. Gallen;1’693 CHF;;;1’693 CHF;169.3
OLMA;Wohnung in Rehetobel;Nani’s Höckli im Appenzellerland;;814 CHF;888 CHF;888 CHF;88.8
OLMA;Wohnung in St. Gallen;TouchBed | Budget-Studio;1’352 CHF;;;1’352 CHF;135.2
OLMA;Zimmer in Speicher;1er Zimmer ruhig 5 Min. bis ÖV;;602 CHF;660 CHF;660 CHF;66
OLMA;Zimmer in St. Gallen;Schönes Zimmer in der Nähe des Stadtzentrums;;383 CHF;461 CHF;461 CHF;46.1
OLMA;Privatunterkunft in St. Gallen;Ganzes Haus mit Pool und Homecinema in Rotmonten;;5’060 CHF;5’810 CHF;5’810 CHF;581
OLMA;Wohnung in St. Gallen;Zentrale Stadtwohnung mit Terasse;;1’939 CHF;2’143 CHF;2’143 CHF;214.3
OLMA;Wohnung in St. Gallen;Exklusive Jugendstil-Wohnung Nähe Olma/Uni/Zentrum;;1’621 CHF;1’855 CHF;1’855 CHF;185.5
OLMA;Gästehaus in Freidorf;Gemütliche Ferienwohnung auf Bio Bauernhof;;992 CHF;1’081 CHF;1’081 CHF;108.1
OLMA;Zimmer in Zihlschlacht-Sitterdorf;Schmuckes Zimmer (Bett 140x200 ) nahe REHA Klinik;;418 CHF;456 CHF;456 CHF;45.6
OLMA;Unterkunft in St. Gallen;Altstadtflair in historischem Doppelzimmer;;1’108 CHF;1’209 CHF;1’209 CHF;120.9
OLMA;Zimmer in Sankt Gallen;grosse Privat-Zimmer in sonnigem Einfamilienhaus;;557 CHF;606 CHF;606 CHF;60.6
OLMA;Wohnung in St. Gallen;2-Zimmer Apartment in der Altstadt von St. Gallen;1’809 CHF;;;1’809 CHF;180.9
OLMA;Wohnung in St. Gallen;Bijou in der Stadt St. Gallen;1’407 CHF;;;1’407 CHF;140.7
OLMA;Wohnung in St. Gallen;Stadtwohnung mit Küche & gratis Parkplatz;2’109 CHF;;;2’109 CHF;210.9
OLMA;Wohnung in St. Gallen;Schöne 2 1/2 Zimmer Dachwohnung;;1’078 CHF;1’166 CHF;1’166 CHF;116.6
OLMA;Wohnung in St. Gallen;Geräumige 95 m² Wohnung • Balkon • Bergblick;;1’433 CHF;1’559 CHF;1’559 CHF;155.9
OLMA;Zimmer in Zihlschlacht-Sitterdorf;Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN;;418 CHF;456 CHF;456 CHF;45.6
OLMA;Wohnung in Rorschach;Maisonette am Bodensee | Parkplatz | Hoher Komfort;;2’720 CHF;3’000 CHF;3’000 CHF;300
OLMA;Zimmer in Speicherschwendi;Zimmer Bulli;;554 CHF;664 CHF;664 CHF;66.4
OLMA;Zimmer in Horn;Zimmer an der Fahrradroute am Bodensee;824 CHF;;;824 CHF;82.4
OLMA;Gemeinsames Zimmer in St. Gallen;St. Gallen ist schön;;506 CHF;552 CHF;552 CHF;55.2
OLMA;Unterkunft in St. Gallen;TouchBed | Budget Einzelzimmer;1’011 CHF;;;1’011 CHF;101.1
OLMA;Wohnung in St. Gallen;Stilvoll&zentral in St.Gallen -WYBA Living;;1’579 CHF;1’798 CHF;1’798 CHF;179.8
OLMA;Wohnung in St. Gallen;Premium Atmosphäre pur;;3’715 CHF;4’096 CHF;4’096 CHF;409.6
OLMA;Wohnung in St. Gallen;Klara 0002 - Olma, Spital, Universität St. Gallen;1’871 CHF;;;1’871 CHF;187.1
